ad_id,ad_text,industry,platform,date,day_of_week,hour,impressions,clicks,ctr,cpc,cost,conversions,cvr,revenue,roi,sentiment_score,performance
AD_0025,⚕️ Trusted healthcare providers in your area,healthcare,Facebook,2024-12-09,Monday,20,38157,362,0.0095,0.88,318.29,12,0.0357,834.4,1.622,0.55,High
AD_0026,👨‍⚕️ Consult top doctors from home. Telemedicine made simple,healthcare,Instagram,2024-04-12,Friday,4,26184,231,0.0088,1.03,238.11,4,0.0203,307.62,0.292,0.5,Medium
AD_0027,📊 Smart investment tools for modern investors,finance,Instagram,2024-10-17,Thursday,18,48011,504,0.0105,1.34,676.87,7,0.0151,934.86,0.381,0.5,Medium
AD_0028,⚕️ Trusted healthcare providers in your area,healthcare,Facebook,2024-05-20,Monday,7,20360,218,0.0107,1.43,311.16,5,0.0255,155.45,-0.5,0.55,Low
AD_0029,🔒 Protect your assets with our secure solutions,finance,LinkedIn,2024-02-05,Monday,1,48025,544,0.0113,4.72,2569.12,12,0.0222,1135.33,-0.558,0.55,Low
AD_0030,⚡ Speed up your workflow with cutting-edge technology,tech,LinkedIn,2024-08-31,Saturday,5,3049,39,0.013,7.05,275.14,1,0.0431,261.43,-0.05,0.65,Low
AD_0031,💊 Prescription delivery to your door. Order now!,healthcare,Facebook,2024-05-29,Wednesday,12,2154,45,0.0213,0.69,31.0,0,0.0189,0.0,-1.0,0.6,Low
AD_0032,"💚 Your health, our priority. Comprehensive care plans",healthcare,LinkedIn,2024-08-02,Friday,0,49354,472,0.0096,5.04,2380.66,12,0.0257,1368.94,-0.425,0.5,Low
AD_0033,🎯 Smart automation for modern businesses. Get started today!,tech,Twitter,2024-10-25,Friday,20,12969,60,0.0046,0.45,27.0,2,0.0419,698.77,24.884,0.6,High
AD_0034,📦 Free shipping on orders over $50. Limited time!,ecommerce,Facebook,2024-04-23,Tuesday,13,26876,356,0.0133,1.58,561.7,11,0.0336,586.3,0.044,0.75,Medium
AD_0035,🔒 Protect your assets with our secure solutions,finance,Instagram,2024-01-02,Tuesday,23,5555,49,0.009,1.44,70.66,1,0.0337,156.61,1.217,0.55,High
AD_0036,👗 New collection just dropped. Be the first to shop!,ecommerce,Facebook,2024-07-16,Tuesday,3,9754,184,0.0189,1.23,226.04,8,0.0458,798.82,2.534,0.65,High
AD_0037,🎁 Perfect gifts for every occasion. Browse our store,ecommerce,Instagram,2024-02-29,Thursday,11,42919,937,0.0218,1.04,972.14,26,0.0285,2394.24,1.463,0.5,High
AD_0038,💰 Secure your financial future with our investment platform,finance,Google Ads,2024-08-20,Tuesday,10,41447,2199,0.0531,2.9,6370.01,32,0.0148,5866.09,-0.079,0.55,Low
AD_0039,🏥 Book your health checkup online. Easy scheduling!,healthcare,Twitter,2024-02-13,Tuesday,11,7102,31,0.0045,0.32,9.77,0,0.0189,0.0,-1.0,0.5,Low
AD_0040,🎁 Perfect gifts for every occasion. Browse our store,ecommerce,Google Ads,2024-01-23,Tuesday,7,39210,1823,0.0465,2.16,3946.05,35,0.0195,2929.13,-0.258,0.5,Low
AD_0041,💻 Cut costs by 40% with our automated solutions. Try free trial!,tech,Instagram,2024-10-11,Friday,15,1784,32,0.0182,1.02,32.66,1,0.0352,383.42,10.741,0.65,High
AD_0042,⚡ Speed up your workflow with cutting-edge technology,tech,Facebook,2024-02-19,Monday,21,11647,107,0.0092,0.95,102.18,3,0.0291,946.18,8.26,0.65,High
AD_0043,👨‍⚕️ Consult top doctors from home. Telemedicine made simple,healthcare,Google Ads,2024-04-12,Friday,16,7655,313,0.041,3.64,1137.93,4,0.0144,461.61,-0.594,0.5,Low
AD_0044,🩺 Advanced healthcare solutions for better living,healthcare,LinkedIn,2024-12-26,Thursday,17,11966,97,0.0082,2.93,283.9,0,0.008,0.0,-1.0,0.5,Low
AD_0045,📊 Smart investment tools for modern investors,finance,Facebook,2024-06-03,Monday,21,5777,75,0.0131,1.49,111.44,0,0.0115,0.0,-1.0,0.5,Low
AD_0046,💎 Luxury items at affordable prices. Shop today!,ecommerce,Facebook,2024-12-15,Sunday,16,4051,98,0.0242,1.26,123.65,3,0.0376,277.35,1.243,0.6,High
AD_0047,💊 Prescription delivery to your door. Order now!,healthcare,LinkedIn,2024-04-06,Saturday,7,16202,126,0.0078,1.69,213.23,4,0.037,599.34,1.811,0.6,High
AD_0048,💡 Innovation meets efficiency. Discover our tech solutions,tech,Twitter,2024-01-09,Tuesday,18,22136,52,0.0024,0.86,44.7,0,0.0087,0.0,-1.0,0.5,Low
AD_0049,💳 Get approved for loans in 24 hours. Apply today!,finance,Instagram,2024-01-03,Wednesday,2,6949,71,0.0103,0.77,54.58,1,0.0207,188.96,2.462,0.6,High
AD_0050,"🔥 Join 10,000+ companies using our AI-powered platform",tech,Google Ads,2024-01-27,Saturday,1,47175,1708,0.0362,2.18,3727.12,92,0.0541,25794.37,5.921,0.65,High
AD_0051,📦 Free shipping on orders over $50. Limited time!,ecommerce,Instagram,2024-07-18,Thursday,7,48893,816,0.0167,1.66,1355.0,14,0.0179,1196.93,-0.117,0.75,Low
AD_0052,💎 Luxury items at affordable prices. Shop today!,ecommerce,Facebook,2024-03-24,Sunday,17,45078,592,0.0131,1.07,635.55,20,0.0339,2498.56,2.931,0.6,High
AD_0053,🔒 Protect your assets with our secure solutions,finance,Facebook,2024-04-04,Thursday,15,38220,38,0.001,0.71,26.92,1,0.0286,85.64,2.182,0.55,High
AD_0054,🩺 Advanced healthcare solutions for better living,healthcare,Instagram,2024-02-06,Tuesday,3,24289,280,0.0115,0.81,227.85,5,0.02,736.07,2.231,0.5,High
AD_0055,🔬 Cutting-edge medical technology at your service,healthcare,Google Ads,2024-06-13,Thursday,13,39646,1792,0.0452,4.04,7247.7,56,0.0317,7791.3,0.075,0.5,Medium
AD_0056,🏥 Book your health checkup online. Easy scheduling!,healthcare,Instagram,2024-09-18,Wednesday,20,6052,50,0.0083,1.08,54.09,1,0.0269,122.56,1.266,0.5,High
AD_0057,🚀 Revolutionary AI software that transforms your business operations!,tech,Google Ads,2024-06-05,Wednesday,23,28472,1242,0.0436,1.88,2331.61,15,0.0121,5516.37,1.366,0.65,High
AD_0058,📦 Free shipping on orders over $50. Limited time!,ecommerce,Instagram,2024-04-06,Saturday,6,21358,201,0.0094,0.67,134.7,10,0.0516,633.7,3.705,0.75,High
AD_0059,🔒 Protect your assets with our secure solutions,finance,Instagram,2024-02-24,Saturday,13,24548,342,0.014,1.23,421.52,3,0.0092,374.38,-0.112,0.55,Low
AD_0060,📊 Smart investment tools for modern investors,finance,Instagram,2024-06-28,Friday,7,35911,199,0.0056,0.51,101.84,3,0.0191,422.7,3.151,0.5,High
AD_0061,⭐ Award-winning software trusted by industry leaders,tech,LinkedIn,2024-11-09,Saturday,17,48320,594,0.0123,2.88,1713.5,10,0.018,1493.49,-0.128,0.55,Low
AD_0062,🚀 Revolutionary AI software that transforms your business operations!,tech,Google Ads,2024-09-10,Tuesday,17,1698,17,0.0106,2.42,41.2,0,0.0344,0.0,-1.0,0.65,Low
AD_0063,💻 Cut costs by 40% with our automated solutions. Try free trial!,tech,Instagram,2024-12-25,Wednesday,7,9335,76,0.0082,0.1,7.6,0,0.003,0.0,-1.0,0.65,Low
AD_0064,🎯 Financial planning made simple. Book consultation,finance,Google Ads,2024-07-07,Sunday,15,2167,102,0.0472,3.29,335.75,0,0.0098,0.0,-1.0,0.5,Low
AD_0065,🎯 Financial planning made simple. Book consultation,finance,Google Ads,2024-12-16,Monday,1,38098,1723,0.0452,2.35,4054.12,37,0.0217,6375.95,0.573,0.5,High
AD_0066,🎯 Financial planning made simple. Book consultation,finance,LinkedIn,2024-01-01,Monday,12,40081,295,0.0074,5.16,1521.28,6,0.0216,836.9,-0.45,0.5,Low
AD_0067,💎 Luxury items at affordable prices. Shop today!,ecommerce,Facebook,2024-04-20,Saturday,13,29295,254,0.0087,1.24,314.43,2,0.0106,92.44,-0.706,0.6,Low
AD_0068,👨‍⚕️ Consult top doctors from home. Telemedicine made simple,healthcare,LinkedIn,2024-03-14,Thursday,9,20870,133,0.0064,5.4,718.75,0,0.001,0.0,-1.0,0.5,Low
AD_0069,💰 Secure your financial future with our investment platform,finance,Instagram,2024-08-12,Monday,23,16485,158,0.0096,0.53,83.93,2,0.0134,299.59,2.569,0.55,High
AD_0070,💡 Innovation meets efficiency. Discover our tech solutions,tech,Google Ads,2024-01-23,Tuesday,1,40298,1546,0.0384,1.67,2586.1,48,0.0312,12319.94,3.764,0.5,High
AD_0071,👨‍⚕️ Consult top doctors from home. Telemedicine made simple,healthcare,Google Ads,2024-01-23,Tuesday,16,38797,1639,0.0422,2.1,3439.9,55,0.0336,6033.03,0.754,0.5,High
AD_0072,⚡ Speed up your workflow with cutting-edge technology,tech,Twitter,2024-01-27,Saturday,19,21559,64,0.003,0.99,63.47,2,0.032,501.89,6.908,0.65,High
AD_0073,"🔥 Join 10,000+ companies using our AI-powered platform",tech,Facebook,2024-06-05,Wednesday,3,49529,975,0.0197,1.23,1195.44,21,0.022,4374.01,2.659,0.65,High
AD_0074,💰 Secure your financial future with our investment platform,finance,Facebook,2024-08-28,Wednesday,2,8114,182,0.0225,0.86,157.1,2,0.0149,387.87,1.469,0.55,High
AD_0075,🔬 Cutting-edge medical technology at your service,healthcare,Instagram,2024-12-29,Sunday,8,37487,336,0.009,0.76,255.44,10,0.0303,548.35,1.147,0.5,High
AD_0076,"💸 Save more, spend wisely. Download our app!",finance,Facebook,2024-04-02,Tuesday,8,14216,270,0.019,2.1,567.15,8,0.0322,662.66,0.168,0.65,Medium
AD_0077,👨‍⚕️ Consult top doctors from home. Telemedicine made simple,healthcare,Facebook,2024-09-17,Tuesday,20,5804,83,0.0144,1.51,125.45,0,0.0068,0.0,-1.0,0.5,Low
AD_0078,💎 Luxury items at affordable prices. Shop today!,ecommerce,LinkedIn,2024-05-02,Thursday,2,28712,247,0.0086,3.1,766.91,11,0.0451,876.36,0.143,0.6,Medium
AD_0079,⭐ Award-winning software trusted by industry leaders,tech,Google Ads,2024-08-29,Thursday,18,7970,238,0.03,3.94,936.81,7,0.0299,1896.33,1.024,0.55,High
AD_0080,💻 Cut costs by 40% with our automated solutions. Try free trial!,tech,Google Ads,2024-07-27,Saturday,6,41943,880,0.021,1.9,1672.55,28,0.0319,5982.81,2.577,0.65,High
AD_0081,👗 New collection just dropped. Be the first to shop!,ecommerce,Google Ads,2024-12-28,Saturday,11,24574,1083,0.0441,2.69,2916.82,33,0.0312,3133.3,0.074,0.65,Medium
AD_0082,"🔥 Join 10,000+ companies using our AI-powered platform",tech,Google Ads,2024-05-23,Thursday,9,38744,919,0.0237,3.04,2789.62,0,0.001,0.0,-1.0,0.65,Low
AD_0083,🔒 Protect your assets with our secure solutions,finance,LinkedIn,2024-11-19,Tuesday,17,9427,101,0.0108,2.7,273.0,2,0.0238,314.95,0.154,0.55,Medium
AD_0084,🛍️ Flash sale! 50% off on all items. Shop now!,ecommerce,Google Ads,2024-09-16,Monday,17,38441,1927,0.0501,3.87,7454.85,89,0.0463,7225.89,-0.031,0.7,Low
AD_0085,📦 Free shipping on orders over $50. Limited time!,ecommerce,Instagram,2024-12-30,Monday,4,11209,209,0.0187,1.82,380.59,10,0.0481,278.99,-0.267,0.75,Low
AD_0086,📦 Free shipping on orders over $50. Limited time!,ecommerce,Instagram,2024-12-11,Wednesday,3,44088,984,0.0223,0.45,440.79,42,0.0434,4162.78,8.444,0.75,High
AD_0087,📊 Smart investment tools for modern investors,finance,Facebook,2024-04-19,Friday,19,15388,257,0.0167,1.18,304.37,1,0.0064,122.9,-0.596,0.5,Low
AD_0088,"💸 Save more, spend wisely. Download our app!",finance,Instagram,2024-03-20,Wednesday,21,25214,398,0.0158,0.17,69.65,8,0.0204,861.64,11.372,0.65,High
AD_0089,💎 Luxury items at affordable prices. Shop today!,ecommerce,Facebook,2024-04-07,Sunday,1,37034,748,0.0202,1.06,793.23,35,0.0475,2812.65,2.546,0.6,High
AD_0090,🌟 Transform your business with AI. Limited time offer!,tech,Instagram,2024-11-18,Monday,8,22969,408,0.0178,0.79,321.71,7,0.0185,1456.51,3.527,0.75,High
AD_0091,🚀 Revolutionary AI software that transforms your business operations!,tech,Facebook,2024-05-09,Thursday,4,19777,330,0.0167,0.7,232.02,3,0.0112,488.93,1.107,0.65,High
AD_0092,👗 New collection just dropped. Be the first to shop!,ecommerce,Facebook,2024-10-14,Monday,14,46162,1265,0.0274,1.11,1398.25,72,0.0574,4688.01,2.353,0.65,High
AD_0093,🏥 Book your health checkup online. Easy scheduling!,healthcare,Instagram,2024-02-13,Tuesday,2,18022,181,0.0101,0.77,139.31,3,0.0196,366.11,1.628,0.5,High
AD_0094,💰 Secure your financial future with our investment platform,finance,Instagram,2024-11-20,Wednesday,11,40577,784,0.0193,1.1,863.18,15,0.0203,2460.09,1.85,0.55,High
AD_0095,🎯 Financial planning made simple. Book consultation,finance,Google Ads,2024-02-19,Monday,1,41441,1027,0.0248,2.58,2649.13,6,0.0062,452.05,-0.829,0.5,Low
AD_0096,🌟 Premium quality at unbeatable prices,ecommerce,Facebook,2024-12-15,Sunday,1,2062,30,0.015,1.48,44.3,0,0.0214,0.0,-1.0,0.8,Low
AD_0097,🎁 Perfect gifts for every occasion. Browse our store,ecommerce,Google Ads,2024-09-21,Saturday,7,9258,488,0.0527,3.38,1650.24,14,0.0298,1850.08,0.121,0.5,Medium
AD_0098,💡 Innovation meets efficiency. Discover our tech solutions,tech,Instagram,2024-10-29,Tuesday,17,13199,177,0.0134,1.66,293.6,2,0.012,471.45,0.606,0.5,High
AD_0099,👨‍⚕️ Consult top doctors from home. Telemedicine made simple,healthcare,Facebook,2024-12-25,Wednesday,7,35529,756,0.0213,0.57,431.95,15,0.0199,915.48,1.119,0.5,High
AD_0100,"🏦 Bank with confidence. Zero fees, maximum returns",finance,Google Ads,2024-12-08,Sunday,13,7767,221,0.0285,1.24,274.3,2,0.0121,262.79,-0.042,0.5,Low
AD_0101,⚡ Speed up your workflow with cutting-edge technology,tech,Facebook,2024-10-13,Sunday,10,5324,93,0.0175,0.8,74.51,3,0.0344,730.9,8.81,0.65,High
AD_0102,🩺 Advanced healthcare solutions for better living,healthcare,LinkedIn,2024-04-13,Saturday,5,19935,131,0.0066,4.56,597.04,3,0.0282,421.21,-0.295,0.5,Low
AD_0103,🌟 Transform your business with AI. Limited time offer!,tech,Instagram,2024-12-04,Wednesday,1,23700,169,0.0071,2.05,345.89,3,0.0209,878.38,1.539,0.75,High
AD_0104,🩺 Advanced healthcare solutions for better living,healthcare,Google Ads,2024-03-18,Monday,14,37976,1440,0.0379,0.1,144.0,55,0.0385,7126.59,48.49,0.5,High
AD_0105,⚡ Lightning deals! Save big on trending products,ecommerce,Instagram,2024-11-14,Thursday,7,33254,520,0.0157,0.65,337.85,52,0.1,2149.46,5.362,0.8,High
AD_0106,💰 Secure your financial future with our investment platform,finance,Facebook,2024-09-13,Friday,6,23422,273,0.0117,1.02,277.21,1,0.0047,160.33,-0.422,0.55,Low
AD_0107,🔬 Cutting-edge medical technology at your service,healthcare,Instagram,2024-04-18,Thursday,2,37258,767,0.0206,0.76,581.57,19,0.0258,2141.12,2.682,0.5,High
AD_0108,🌟 Premium quality at unbeatable prices,ecommerce,LinkedIn,2024-09-06,Friday,16,20019,218,0.0109,3.63,790.28,13,0.0607,980.97,0.241,0.8,Medium
AD_0109,🔬 Cutting-edge medical technology at your service,healthcare,Instagram,2024-12-30,Monday,0,31523,438,0.0139,1.28,560.0,7,0.0168,759.6,0.356,0.5,Medium
AD_0110,🎯 Smart automation for modern businesses. Get started today!,tech,LinkedIn,2024-03-10,Sunday,18,21611,206,0.0096,6.41,1319.55,7,0.0388,853.68,-0.353,0.6,Low
AD_0111,🛍️ Flash sale! 50% off on all items. Shop now!,ecommerce,Instagram,2024-02-12,Monday,19,40711,897,0.0221,0.84,754.06,2,0.0027,143.13,-0.81,0.7,Low
AD_0112,🔬 Cutting-edge medical technology at your service,healthcare,Instagram,2024-10-09,Wednesday,10,35016,220,0.0063,1.01,221.41,5,0.0269,178.87,-0.192,0.5,Low
AD_0113,💊 Prescription delivery to your door. Order now!,healthcare,Facebook,2024-05-29,Wednesday,18,42157,746,0.0177,0.47,347.17,17,0.0238,2388.19,5.879,0.6,High
AD_0114,📊 Smart investment tools for modern investors,finance,Google Ads,2024-01-18,Thursday,22,6788,261,0.0386,2.08,544.11,7,0.0278,1039.82,0.911,0.5,High
AD_0115,🏥 Book your health checkup online. Easy scheduling!,healthcare,Instagram,2024-07-20,Saturday,17,3336,51,0.0155,1.29,65.7,1,0.0207,102.8,0.565,0.5,High
AD_0116,"💸 Save more, spend wisely. Download our app!",finance,Instagram,2024-06-16,Sunday,2,24710,305,0.0124,1.33,406.15,3,0.0105,153.47,-0.622,0.65,Low
AD_0117,🌟 Premium quality at unbeatable prices,ecommerce,Instagram,2024-09-14,Saturday,3,15382,468,0.0305,1.07,502.12,36,0.0777,2470.82,3.921,0.8,High
AD_0118,⚡ Lightning deals! Save big on trending products,ecommerce,Facebook,2024-09-15,Sunday,13,34561,942,0.0273,2.16,2034.41,26,0.0279,1303.34,-0.359,0.8,Low
AD_0119,🔥 Hot deals alert! Don't miss out on savings,ecommerce,Facebook,2024-09-27,Friday,9,13999,275,0.0197,1.6,440.29,1,0.007,65.48,-0.851,0.75,Low
AD_0120,💳 Get approved for loans in 24 hours. Apply today!,finance,Instagram,2024-06-12,Wednesday,21,27215,330,0.0121,0.82,271.94,10,0.0312,1765.62,5.493,0.6,High
AD_0121,👨‍⚕️ Consult top doctors from home. Telemedicine made simple,healthcare,LinkedIn,2024-08-27,Tuesday,18,42563,259,0.0061,4.16,1077.45,3,0.0137,340.19,-0.684,0.5,Low
AD_0122,🔥 Hot deals alert! Don't miss out on savings,ecommerce,Facebook,2024-07-31,Wednesday,0,48523,738,0.0152,0.96,710.11,33,0.045,3506.6,3.938,0.75,High
AD_0123,⚡ Lightning deals! Save big on trending products,ecommerce,Instagram,2024-03-22,Friday,13,32880,422,0.0128,0.95,399.48,25,0.0595,1621.75,3.06,0.8,High
AD_0124,💎 Luxury items at affordable prices. Shop today!,ecommerce,Instagram,2024-06-20,Thursday,14,35393,437,0.0124,0.62,271.37,14,0.0341,1331.06,3.905,0.6,High
AD_0125,🔒 Protect your assets with our secure solutions,finance,Google Ads,2024-11-04,Monday,23,46994,1553,0.033,4.17,6474.49,30,0.0195,2434.82,-0.624,0.55,Low
AD_0126,📈 Grow your wealth with expert financial advice. Start now!,finance,Facebook,2024-04-20,Saturday,16,20097,271,0.0135,1.63,443.04,4,0.0149,400.83,-0.095,0.65,Low
AD_0127,📦 Free shipping on orders over $50. Limited time!,ecommerce,Facebook,2024-11-13,Wednesday,7,10984,205,0.0188,1.28,261.57,5,0.0247,206.56,-0.21,0.75,Low
AD_0128,🎁 Perfect gifts for every occasion. Browse our store,ecommerce,Google Ads,2024-11-09,Saturday,6,3717,107,0.029,3.63,388.29,8,0.08,427.44,0.101,0.5,Medium
AD_0129,💰 Secure your financial future with our investment platform,finance,Facebook,2024-01-18,Thursday,7,29865,434,0.0145,1.92,834.11,1,0.0037,275.82,-0.669,0.55,Low
AD_0130,💊 Prescription delivery to your door. Order now!,healthcare,Google Ads,2024-06-25,Tuesday,13,13342,458,0.0344,2.74,1254.14,9,0.0204,1251.0,-0.003,0.6,Low
AD_0131,🎯 Financial planning made simple. Book consultation,finance,Facebook,2024-07-10,Wednesday,12,48190,482,0.01,2.04,983.81,6,0.0131,1176.56,0.196,0.5,Medium
AD_0132,"🏦 Bank with confidence. Zero fees, maximum returns",finance,Instagram,2024-09-11,Wednesday,22,9519,87,0.0092,0.75,65.28,1,0.0157,144.13,1.208,0.5,High
AD_0133,💻 Cut costs by 40% with our automated solutions. Try free trial!,tech,Facebook,2024-10-29,Tuesday,13,8970,98,0.0109,1.54,151.14,3,0.0404,538.41,2.562,0.65,High
AD_0134,"🏦 Bank with confidence. Zero fees, maximum returns",finance,LinkedIn,2024-11-08,Friday,22,42124,300,0.0071,5.12,1536.92,3,0.0129,307.23,-0.8,0.5,Low
AD_0135,🏥 Book your health checkup online. Easy scheduling!,healthcare,Google Ads,2024-08-04,Sunday,7,17032,637,0.0374,1.78,1136.42,14,0.0233,1049.44,-0.077,0.5,Low
AD_0136,⭐ Award-winning software trusted by industry leaders,tech,Google Ads,2024-02-21,Wednesday,14,35177,811,0.0231,1.68,1365.48,17,0.0219,4126.55,2.022,0.55,High
AD_0137,💎 Luxury items at affordable prices. Shop today!,ecommerce,LinkedIn,2024-08-25,Sunday,23,46960,560,0.0119,2.56,1434.69,2,0.0047,133.84,-0.907,0.6,Low
AD_0138,"💪 Stay healthy, stay happy. Wellness programs available",healthcare,LinkedIn,2024-12-14,Saturday,5,49285,329,0.0067,4.06,1335.34,9,0.0297,1069.97,-0.199,0.5,Low
AD_0139,"💪 Stay healthy, stay happy. Wellness programs available",healthcare,Instagram,2024-04-10,Wednesday,7,3573,38,0.0107,0.98,37.13,1,0.0287,158.06,3.256,0.5,High
AD_0140,💎 Luxury items at affordable prices. Shop today!,ecommerce,Google Ads,2024-08-31,Saturday,7,42401,1934,0.0456,1.3,2513.87,85,0.0442,8070.51,2.21,0.6,High
AD_0141,💎 Luxury items at affordable prices. Shop today!,ecommerce,Instagram,2024-01-31,Wednesday,22,27665,378,0.0137,1.52,576.39,2,0.0071,186.49,-0.676,0.6,Low
AD_0142,🎁 Perfect gifts for every occasion. Browse our store,ecommerce,Instagram,2024-04-15,Monday,10,2622,41,0.0157,1.19,48.75,0,0.0193,0.0,-1.0,0.5,Low
AD_0143,📦 Free shipping on orders over $50. Limited time!,ecommerce,Instagram,2024-02-23,Friday,4,48924,890,0.0182,0.47,415.54,3,0.0035,147.87,-0.644,0.75,Low
AD_0144,🎯 Financial planning made simple. Book consultation,finance,Google Ads,2024-09-26,Thursday,4,12555,393,0.0313,2.7,1060.53,5,0.0133,1021.71,-0.037,0.5,Low
AD_0145,📈 Grow your wealth with expert financial advice. Start now!,finance,LinkedIn,2024-06-10,Monday,13,29769,335,0.0113,5.6,1876.46,7,0.0217,1012.73,-0.46,0.65,Low
AD_0146,💎 Luxury items at affordable prices. Shop today!,ecommerce,Facebook,2024-06-10,Monday,1,9942,77,0.0078,1.14,87.82,3,0.0502,130.62,0.487,0.6,Medium
AD_0147,🎯 Financial planning made simple. Book consultation,finance,Facebook,2024-05-31,Friday,18,1481,39,0.0265,1.15,45.0,0,0.0114,0.0,-1.0,0.5,Low
AD_0148,🌟 Transform your business with AI. Limited time offer!,tech,Google Ads,2024-07-04,Thursday,0,1060,31,0.03,0.72,22.3,0,0.0215,0.0,-1.0,0.75,Low
AD_0149,⚡ Lightning deals! Save big on trending products,ecommerce,Facebook,2024-10-19,Saturday,12,42131,944,0.0224,1.46,1374.13,36,0.0385,2310.71,0.682,0.8,High
AD_0150,🩺 Advanced healthcare solutions for better living,healthcare,LinkedIn,2024-07-08,Monday,7,21491,183,0.0085,6.22,1139.03,5,0.0306,621.53,-0.454,0.5,Low
AD_0151,🔥 Hot deals alert! Don't miss out on savings,ecommerce,Instagram,2024-07-07,Sunday,0,3421,59,0.0175,1.43,84.51,2,0.0446,160.54,0.9,0.75,High
